gene_id,gene_name,feature_name,training_raw_variance
ENSG00000087086,FTL,FTL,2102.775918209854
ENSG00000167996,FTH1,FTH1,1213.3211925582787
ENSG00000251562,MALAT1,MALAT1,1039.5276328875452
ENSG00000205542,TMSB4X,TMSB4X,943.699506172854
ENSG00000166710,B2M,B2M,686.4173996913651
ENSG00000090382,LYZ,LYZ,596.5203626543125
ENSG00000075624,ACTB,ACTB,411.6993518518508
ENSG00000147403,RPL10,RPL10,316.0035802469142
ENSG00000163220,S100A9,S100A9,300.84368805726865
ENSG00000167526,RPL13,RPL13,283.0374477023364
ENSG00000142541,RPL13A,RPL13A,271.7634224965708
ENSG00000140988,RPS2,RPS2,268.1349689214652
ENSG00000019582,CD74,CD74,244.55171467763523
ENSG00000137154,RPS6,RPS6,233.55287722907792
ENSG00000231500,RPS18,RPS18,181.66412015603106
ENSG00000204287,HLA-DRA,HLA-DRA,169.0995541838123
ENSG00000108298,RPL19,RPL19,154.55514317557936
ENSG00000149273,RPS3,RPS3,148.85812671467522
ENSG00000112306,RPS12,RPS12,142.34221450616866
ENSG00000034510,TMSB10,TMSB10,140.71143689986175
ENSG00000100316,RPL3,RPL3,140.03209790809035
ENSG00000142676,RPL11,RPL11,129.78518325617108
ENSG00000198804,MT-CO1,MT-CO1,129.54296210562262
ENSG00000144713,RPL32,RPL32,125.0335871056198
ENSG00000137818,RPLP1,RPLP1,122.6581770833318
ENSG00000105372,RPS19,RPS19,119.71628858024496
ENSG00000164587,RPS14,RPS14,96.63880315500376
ENSG00000101439,CST3,CST3,95.52083140431989
ENSG00000177954,RPS27,RPS27,94.10296103394876
ENSG00000105640,RPL18A,RPL18A,90.96324074074002
ENSG00000156508,EEF1A1,EEF1A1,90.17203703703444
ENSG00000198034,RPS4X,RPS4X,89.3683159722226
ENSG00000196154,S100A4,S100A4,88.5773557527415
ENSG00000145425,RPS3A,RPS3A,85.3569956704396
ENSG00000143546,S100A8,S100A8,84.78086334019166
ENSG00000143947,RPS27A,RPS27A,81.52272612311398
ENSG00000108107,RPL28,RPL28,74.60432013031539
ENSG00000174748,RPL15,RPL15,67.85205675582989
ENSG00000134419,RPS15A,RPS15A,66.71285986797008
ENSG00000122026,RPL21,RPL21,66.06940243484229
ENSG00000198712,MT-CO2,MT-CO2,65.24120370370207
ENSG00000083845,RPS5,RPS5,64.85955739883258
ENSG00000197958,RPL12,RPL12,64.39163044410097
ENSG00000198755,RPL10A,RPL10A,64.29620177469026
ENSG00000133112,TPT1,TPT1,61.87588391632275
ENSG00000177600,RPLP2,RPLP2,61.12729745370433
ENSG00000142937,RPS8,RPS8,60.4665432098752
ENSG00000198242,RPL23A,RPL23A,58.03182098765467
ENSG00000161016,RPL8,RPL8,56.673796296294725
ENSG00000223865,HLA-DPB1,HLA-DPB1,53.65384066358068
ENSG00000105374,NKG7,NKG7,53.12394975994542
ENSG00000170889,RPS9,RPS9,52.8719802383379
ENSG00000166441,RPL27A,RPL27A,52.00539073216578
ENSG00000115523,GNLY,GNLY,51.453513160151026
ENSG00000187514,PTMA,PTMA,50.794418509942176
ENSG00000148303,RPL7A,RPL7A,50.2829113082967
ENSG00000188846,RPL14,RPL14,49.55571930726791
ENSG00000171863,RPS7,RPS7,49.529423653975826
ENSG00000089009,RPL6,RPL6,48.898311899861625
ENSG00000109475,RPL34,RPL34,47.396395747597715
ENSG00000163682,RPL9,RPL9,44.84601316014877
ENSG00000171223,JUNB,JUNB,43.605243484223706
ENSG00000011600,TYROBP,TYROBP,43.34722200788773
ENSG00000063177,RPL18,RPL18,43.17017746913368
ENSG00000204525,HLA-C,HLA-C,42.593270747597444
ENSG00000198938,MT-CO3,MT-CO3,42.126280649861506
ENSG00000105193,RPS16,RPS16,41.957879801094876
ENSG00000168028,RPSA,RPSA,41.12683449073915
ENSG00000162244,RPL29,RPL29,40.31913580246619
ENSG00000147604,RPL7,RPL7,39.75699567043647
ENSG00000186468,RPS23,RPS23,39.5694367283926
ENSG00000104904,OAZ1,OAZ1,39.28294560185262
ENSG00000204628,GNB2L1,GNB2L1,39.11646004800939
ENSG00000227507,LTB,LTB,39.03761231138591
ENSG00000122406,RPL5,RPL5,38.75508209019022
ENSG00000196531,NACA,NACA,38.60413044410078
ENSG00000111640,GAPDH,GAPDH,36.818847522291534
ENSG00000115268,RPS15,RPS15,36.78322702331724
ENSG00000161970,RPL26,RPL26,36.64820901920217
ENSG00000108518,PFN1,PFN1,36.20884752229084
ENSG00000206503,HLA-A,HLA-A,35.29973743998571
ENSG00000231389,HLA-DPA1,HLA-DPA1,34.91026213134465
ENSG00000156482,RPL30,RPL30,33.9997837362812
ENSG00000196126,HLA-DRB1,HLA-DRB1,33.602498070987885
ENSG00000103187,COTL1,COTL1,33.020653077846944
ENSG00000184009,ACTG1,ACTG1,31.733868098423052
ENSG00000197956,S100A6,S100A6,31.624732295953944
ENSG00000170345,FOS,FOS,31.065994513031562
ENSG00000130066,SAT1,SAT1,29.82360768175623
ENSG00000204482,LST1,LST1,29.297684970850593
ENSG00000100097,LGALS1,LGALS1,29.232782707476204
ENSG00000118181,RPS25,RPS25,28.673545953359678
ENSG00000110700,RPS13,RPS13,26.748765217763868
ENSG00000174444,RPL4,RPL4,25.477998756858938
ENSG00000204472,AIF1,AIF1,25.452897805212714
ENSG00000089157,RPLP0,RPLP0,25.32136295438977
ENSG00000071082,RPL31,RPL31,25.140328360766716
ENSG00000173812,EIF1,EIF1,24.790730238339833
ENSG00000026025,VIM,VIM,24.65755829904031
ENSG00000161570,CCL5,CCL5,24.500883916323815
ENSG00000182899,RPL35A,RPL35A,24.134237825787423
ENSG00000198727,MT-CYB,MT-CYB,23.635644718793046
ENSG00000132475,H3F3B,H3F3B,23.04598422496572
ENSG00000124614,RPS10,RPS10,22.865617283949682
ENSG00000158869,FCER1G,FCER1G,22.124768304183903
ENSG00000051523,CYBA,CYBA,21.903055555555852
ENSG00000149806,FAU,FAU,21.41487568587057
ENSG00000136942,RPL35,RPL35,21.099043209876477
ENSG00000132465,IGJ,IGJ,20.906973379629637
ENSG00000221983,UBA52,UBA52,20.875120027434853
ENSG00000142669,SH3BGRL3,SH3BGRL3,20.826294367284135
ENSG00000142534,RPS11,RPS11,19.935531550068454
ENSG00000120129,DUSP1,DUSP1,19.836759259259253
ENSG00000198886,MT-ND4,MT-ND4,19.740491898147877
ENSG00000104529,EEF1D,EEF1D,19.688970336076615
ENSG00000198888,MT-ND1,MT-ND1,19.014554183813623
ENSG00000111348,ARHGDIB,ARHGDIB,18.125819615912235
ENSG00000172757,CFL1,CFL1,17.888446287722893
