UMAP1,UMAP2
-0.7188845,9.484215
15.561607,0.8414943
0.40443635,4.984617
-0.9015066,3.2181106
-0.7592845,5.5836477
0.41753843,7.451561
-0.91604716,3.4105933
-0.5932766,2.6939895
-1.0173098,5.3376603
0.5517376,4.432053
-0.27381974,9.131469
0.42504102,6.36585
1.4131079,3.0146806
-0.77807295,8.130304
-1.0298356,5.8201375
0.5280075,1.297929
-1.0100256,12.544742
-1.3233677,4.5147357
-1.5847178,5.0953193
-1.0138559,13.400659
0.21365286,-0.010431294
-0.23869044,1.8865844
0.2829646,1.1798384
-0.54359174,2.4242773
-0.40008095,7.0679727
0.12461098,8.353443
0.1819122,0.8467402
-0.9730955,5.590492
1.2239432,3.4766173
-0.6867138,5.4462457
-0.7482301,10.051149
-1.6023445,5.1098995
1.5608512,3.5884998
-0.55666965,8.962745
-1.1263478,13.479505
-0.16870598,-1.7020369
-1.1960458,6.893264
-0.89522797,3.0486112
-1.2529405,4.961071
1.3344703,5.1396523
1.2836825,2.3516133
-0.73575056,12.281292
0.17816992,0.69478923
-1.1421338,6.9652424
0.2653182,-2.5885792
1.2056078,2.6925035
-0.5561467,9.432115
-0.38407373,3.1318023
1.2322084,5.230617
1.2134151,4.6835823
-0.48079503,3.4864278
0.55734086,5.5065613
-1.3414587,5.4836946
-0.6319508,8.766752
-0.8890683,5.9982743
-1.1819369,14.789778
0.50244564,4.1924896
-0.14211494,1.4582641
-0.17726062,-1.7390261
1.4573402,2.8334525
15.190287,0.658228
-0.89086986,11.97889
-1.0288388,12.565999
14.264784,0.25749597
-0.4108566,4.5506315
-0.9576839,11.462682
-1.0203967,11.747294
-1.2803359,5.3950977
15.395569,0.7897705
-0.6958609,4.1136107
-0.983116,5.6752405
-0.51947314,9.23091
-0.99421984,5.1253633
-0.36429596,8.974377
-0.7351136,10.729642
-1.531612,5.1868844
-1.0598122,13.54416
-1.242465,5.4477468
-0.11191747,6.9916744
-0.56544095,9.246722
-0.9153013,11.008419
0.10993321,0.34606203
0.84604335,4.765567
14.618462,0.43674973
-1.536697,5.160011
-0.8616726,3.2086928
-1.4467489,5.5556164
-0.0377108,0.93746406
-0.15940534,8.873504
-1.42325,5.0593567
0.9314241,2.830981
-0.52460927,9.880478
