UMAP1,UMAP2
-0.58453745,9.11663
15.549408,1.3294135
-1.959578,3.6729283
1.0027351,2.4752738
0.11283091,5.491704
-0.9962204,6.8337555
1.107995,2.5795333
0.93913406,1.9637119
0.8738164,4.9489355
-0.7354907,3.4242132
-0.8271741,8.755412
-0.9093503,5.5084
-1.2501637,1.6558043
-0.07654626,7.689888
0.82465255,5.6760263
0.10007855,0.067879006
-1.182348,12.401816
1.3738772,4.467488
1.3397152,4.783247
-1.355048,13.193046
0.28319487,-1.088439
0.58848697,0.8942979
0.10220814,0.23594598
0.7725896,1.3255401
-0.41720116,6.5538883
-0.55849266,7.8462152
0.09434345,-0.5381772
1.0889736,4.931846
-1.2845217,2.3215969
1.0304627,5.0021515
-0.8233084,9.465058
1.3331983,4.6773586
-1.4053097,2.6512194
-0.48176757,8.375318
-1.3330532,13.296109
1.5166203,-2.9627595
0.34733808,7.074596
1.1236585,2.2787023
1.3599322,4.5427623
-1.5616801,4.0592904
-0.96823364,1.380253
-1.2940395,12.026664
0.3084481,-0.4444854
0.2412692,7.3802843
1.3955992,-4.3298864
-1.0659803,1.5785251
-0.7317579,9.031468
0.62924075,2.3699589
-1.4913801,4.2516685
-1.3111033,3.7945662
0.8999919,1.9066622
-0.8633525,4.661188
1.2934625,4.991991
-0.3343198,8.156412
0.3983449,5.6715574
-1.3929852,15.474428
-0.7215329,3.3923013
0.48854578,0.49615118
1.58126,-2.990779
-1.3463379,1.7677561
15.327682,0.8402419
-0.94704634,11.854363
-1.165108,12.431247
15.132307,-0.61786705
0.58836275,4.651616
-1.1004806,11.238921
-1.0988524,11.53126
1.2591587,5.0255723
15.483741,1.1043884
0.74580663,3.2824805
1.047602,5.046411
-0.7797733,8.74271
1.0588123,4.7760715
-0.7836332,8.447169
-0.9929798,10.430567
1.350957,4.7117925
-1.2433707,13.302929
1.2303966,5.2746377
-0.49864277,6.472621
-0.44409484,8.828943
-0.97372615,10.792637
0.32361558,-0.70867354
-1.013192,3.8987503
15.297247,0.3196259
1.1421252,4.680784
1.0169667,2.5131414
1.1740125,5.169878
0.39263278,-0.29840815
-0.8378996,8.338087
1.3528469,4.641027
-0.83532673,1.9188157
-0.7437452,9.208794
-1.554574,4.02518
-0.5963936,8.91575
-0.49459618,1.0147898
0.85347885,1.8272951
-1.0843709,7.7036133
-0.36579883,8.507736
-0.6659595,8.608638
-0.01035434,-0.5259038
-0.60548073,8.445989
-1.2342663,3.5744214
-1.1488223,12.436616
-0.40483508,6.572491
-1.0023497,10.29032
-0.52433294,2.289287
-0.028584976,3.433686
15.591477,1.3947259
-1.0639592,6.2683134
-1.0996821,6.211778
1.3008395,4.475895
-1.1009485,10.590445
-1.2736527,13.173825
-0.37621742,8.600437
-1.1128857,5.7413626
-0.603366,0.23748514
0.14524926,5.4136996
-1.2584515,13.155256
-1.0173619,5.3065023
-1.08476,1.6137239
0.92975533,1.9755313
1.1158317,5.084311
0.83137715,5.084793
-1.416655,4.1594777
-0.68665355,9.087066
-1.1612874,1.9293057
-0.76477396,9.092218
-1.4780719,3.5335057
-0.60447496,1.2362581
-1.109054,6.03393
0.48011854,2.877334
-5.3423905,-5.182149
1.2974063,4.67576
-0.93261707,2.2831862
-1.338877,1.9810843
-0.6297822,8.91914
-1.249319,12.975268
-0.36761484,8.460274
0.22380581,0.4354199
-0.9750552,12.046869
-1.2400043,13.025151
0.30358028,-0.3324195
0.07216879,0.72238976
2.075303,-3.9443853
-0.13736397,5.8406096
-1.0736415,11.751014
1.3874091,4.6375527
-0.36840126,6.6776705
-1.3673505,3.4908981
0.43829203,1.3828586
0.80729926,5.286571
-1.02816,10.686759
15.386772,0.9311776
-0.49474376,8.841134
0.4500804,5.639312
1.0493902,4.9598813
-0.4668315,7.0379434
0.9528524,5.0588093
-1.2564778,4.5673914
15.379808,1.0062262
-1.0717701,11.035975
-0.12119404,6.792963
-1.2861928,11.472123
-0.59272236,8.322756
-0.8446656,10.865973
0.39550605,5.517711
0.7787784,2.3892932
0.44858867,4.5418773
-0.61513484,6.301706
1.3951651,4.6683044
-0.7534521,8.772283
-1.7566825,1.5707471
-0.7373654,5.3565106
1.2640792,4.651293
-1.1608865,11.797359
-0.8414128,11.544859
1.2391981,2.668198
-0.71895444,5.827543
-5.3414207,-5.1811047
-1.1723862,6.5625825
0.34501383,-0.51918525
-0.91901857,2.6373017
-1.5064523,3.5719006
-0.64819705,10.052296
0.5935926,4.085333
-1.0227536,1.156513
-1.1023972,12.920938
-1.2551587,11.621153
1.0921409,4.881428
-0.6961962,9.0815115
-0.27451766,5.623666
-1.4093924,13.147136
-0.56968176,3.746088
-1.7839832,2.0148437
-1.1044656,7.791628
0.8741579,5.193136
-0.70198077,4.578462
1.1294056,2.6666422
-1.1441532,12.663973
-0.5897033,0.3190629
0.34952775,-0.5956474
1.0175525,2.3021085
-0.35668203,2.6023726
0.019031119,7.1906724
-1.3917915,15.428891
0.35976177,0.43854666
0.8051143,2.160504
1.3070424,5.070326
0.9296395,4.7050347
-1.1073327,4.029016
0.3947466,0.5436656
-1.2523082,2.1330123
0.03975608,1.3790313
-0.78699386,3.7656152
0.5819317,1.4991531
-1.0446279,3.7542048
0.43826762,-0.035159502
-1.1860911,11.540773
-1.1047579,3.0376148
1.0651618,2.18057
-1.5819136,3.783597
-0.067762434,0.7586225
0.9230968,1.7912804
1.0421659,2.6496384
-1.571464,4.4954443
-0.6732779,11.276773
1.7576319,-3.3139644
0.83048946,1.8909796
-1.248733,12.030403
0.23145333,-0.3244923
0.9282248,2.5021496
-0.8865495,1.8747553
1.4435419,4.642185
-1.0329777,5.532768
-1.2145762,12.25434
1.1950518,4.8046036
-1.3716539,11.968458
15.320904,0.04807184
-1.2698712,1.5477363
15.246179,-0.12263498
-1.1942484,4.4067354
1.6214961,-3.038763
-1.3097415,6.6003795
1.0903646,5.057537
-1.0535101,4.911168
0.162674,-0.510455
-0.61743915,2.9899619
0.47790602,1.934881
-1.1747361,12.907765
-1.2885755,2.1259828
0.73317957,5.0049744
-1.0445589,10.781323
-1.1109602,5.5262966
-0.9664638,7.075657
