UMAP1,UMAP2
5.9646153,-0.09568951
-9.220585,5.3495107
-7.3394938,3.6189482
6.713283,-0.5818614
-3.2675357,2.2011204
-2.845326,2.2151937
4.503302,-1.0733373
-9.598789,4.566389
-9.830257,5.0187073
-8.342033,4.786452
-7.8408713,3.732045
-7.9615107,4.197671
-7.73484,3.9192867
-7.6445622,4.3309665
-2.9356506,2.0525877
6.0542135,-0.14372413
6.2516136,-0.92021036
-7.401147,3.7182202
6.5339336,-0.46455067
7.0075526,-0.7162318
-7.3671737,4.379743
-5.5821247,3.1148603
5.477397,-1.1804509
-2.9239056,1.9572906
-9.060986,4.271244
-6.816491,3.555885
-3.4068758,2.5187712
5.4708276,-0.8268607
-2.8523188,2.4805295
-7.4232445,4.219289
6.7957897,-0.6690633
-9.010232,5.0015554
-7.7648497,4.109464
6.153265,-0.4920729
6.50636,-0.4830859
-9.358515,4.629082
-7.2029877,4.1107554
6.5653996,-0.76654226
5.2037926,-0.80687195
-8.859923,5.0796385
-8.022075,4.528598
6.501129,-1.072215
-5.986838,3.4987373
-3.3064175,2.4657712
-9.253145,4.6274934
-8.187807,3.878202
-6.7732086,4.0195503
6.405132,-0.83556116
-7.294016,4.08356
-8.936975,5.005487
-2.9635296,2.2902553
-2.9143581,2.2799666
4.52667,-1.1565377
-6.9889255,4.1730967
-7.237218,4.032128
6.5548954,-0.82499814
4.404765,-0.9712578
-3.1243966,2.3957267
5.5531764,-0.3763917
-8.338161,4.4777155
-8.9336605,4.467999
-8.833541,4.66663
-9.723806,5.031671
-9.1864195,4.4889455
-2.6039112,2.1199455
5.2490497,-0.6477839
-7.3412714,3.794884
-6.8739533,4.052263
-6.9121566,4.135522
4.504332,-1.1312581
-7.3087955,3.9675653
6.68254,-0.52264804
-7.831124,4.106857
5.6723475,-0.89530766
-8.295255,3.9197125
4.3258376,-0.9861389
-7.2937455,4.1712832
-9.216706,4.683053
-8.467039,4.724643
-9.319303,4.6231966
-6.282117,3.4676275
6.6245537,-0.48838645
-2.9747214,2.2841141
-8.316802,4.1937757
-7.248829,4.027143
-8.303163,4.268386
-5.4739966,3.1724768
-6.8428473,4.06969
-8.637537,4.9912195
-6.858781,4.085835
-7.937238,4.4386835
-8.634244,4.262839
-9.472246,4.885275
-2.7514946,2.2324033
-3.025762,2.193109
-2.7566812,2.4120069
-2.9358542,2.2637384
-7.532658,4.4082937
-9.4436455,4.3811946
-7.4226265,4.4039936
-3.1888542,2.049786
-3.1005023,2.351889
-6.2274694,3.5183356
6.5564423,-0.33855826
-9.026868,4.8811283
6.0390143,-0.65039366
6.3469415,-0.8658917
-3.605938,2.5021195
-6.2248125,3.4681098
-6.5562177,3.4700747
-9.6215925,4.6441674
-6.6552835,3.4859424
4.3817782,-1.1124619
-9.449579,4.8915324
-2.7992103,2.344739
-7.9085855,4.0930753
-8.698711,4.4980717
-3.4225538,2.6389148
-7.6221366,4.2486577
-8.105064,4.3665605
-8.647749,5.2365065
5.648284,0.24002467
-8.062569,4.3459563
-8.223364,4.770469
-9.145609,4.4155
4.636646,-1.2622617
5.989115,-0.60416496
5.533386,-0.24269791
-7.958871,4.0366554
-9.768662,4.8692484
6.313546,-0.64215994
6.114034,-0.37192464
-7.0960393,4.277102
4.4352098,-0.96331364
-2.908601,2.2961967
-7.3617325,4.037339
-5.8415604,3.0410907
-8.870727,4.996361
-8.879283,4.6162667
-7.6351333,4.5280685
-2.796873,2.1683302
-6.357243,3.6665728
-8.379233,4.721627
-9.10058,4.378551
-8.347069,4.5291457
-7.7038813,4.490316
6.335659,-0.29889277
-6.4029794,3.525083
-9.828937,4.7361207
5.69642,-0.7795324
-8.12994,4.5621057
-8.382044,5.1313214
6.6467786,-0.5783578
-8.059564,4.4079027
-7.4237456,4.5126657
-2.620336,2.1598563
-8.820101,5.0112715
-7.4928513,4.2893543
6.401725,-0.63525134
4.4302354,-0.85900736
-9.218351,4.7536454
5.0767946,-0.7924185
-7.4709015,4.2285924
6.3635683,-0.74823636
6.4222813,-0.96534246
-9.000108,4.0601482
5.590726,-0.49150655
-7.1948442,3.9864042
-9.123383,4.7940264
-8.136332,4.154793
6.031683,-0.7551082
-7.997051,3.697319
-7.7752147,4.478068
-7.3826017,4.070317
-3.3179374,2.3607078
4.5797915,-0.8727406
-9.122801,4.533738
-6.820784,4.222829
-7.658227,3.793929
-5.972498,3.4534569
-9.625223,4.3883696
-7.260817,4.051101
6.423753,-0.60912883
-8.267594,3.9235117
-9.252334,4.1148124
6.2027426,-0.22919717
-7.500095,4.414278
-8.666326,5.1479354
-9.135229,4.445425
-7.8164806,4.5957193
-6.9932194,3.9746072
-8.808116,4.891619
-8.209388,5.0062003
-3.2597756,2.6032195
-7.6729655,4.032764
-8.141488,3.3939488
-6.382896,3.7160969
4.4982905,-1.1365929
-7.7520723,3.7551734
6.3334675,-0.6287383
6.5498953,-0.7829017
-8.377689,4.2428627
-8.014255,4.8054237
-6.630846,4.0609574
4.649154,-1.1108803
6.05405,-0.5811619
-8.709013,4.5643773
-8.114825,4.218487
6.28774,-0.8143718
-6.7129865,3.8707583
-7.7832274,4.08566
-2.9328349,2.0996494
-2.8449066,2.1952634
4.5297484,-0.9770848
-8.153725,4.4248123
-3.047172,2.1651142
-2.8276243,1.967952
-8.733308,4.284632
-3.2896578,1.8151174
-6.909027,3.5232491
-8.073966,4.2131724
5.9312468,-0.7680187
-8.187224,5.2724624
5.9669414,-0.4281911
-6.462468,3.6622245
7.012365,-0.6216244
-6.8596673,3.8897617
-6.8492575,3.5197103
-8.144568,4.8573503
-2.7411315,2.4008167
-7.854625,4.7429314
-5.8072124,3.1943417
4.7859592,-0.92368203
4.9446692,-0.9337856
4.694317,-1.0360254
6.0343795,-0.8248354
-8.486356,4.105886
6.6781187,-0.7685361
-2.8219128,2.1357408
-7.988447,4.0514774
-8.394959,4.441398
-6.9741335,4.027004
-8.760252,5.091006
-7.49699,3.9456356
-7.6501274,4.2203903
-7.5162683,4.0635185
-8.919363,4.9672146
6.4622445,-0.40800384
-7.619578,3.9307973
-8.217119,4.6069303
-6.427001,3.6294963
5.618269,-1.0172907
