UMAP1,UMAP2
0.3468939,1.9090374
-1.0186542,6.9580693
12.271236,-1.3289118
-1.0774645,5.577393
14.061205,-0.868157
-1.2118161,5.611262
-1.0486659,6.880433
13.563997,-0.5040034
14.132784,-0.5812542
-0.8760617,7.1234937
13.0004,-1.5906082
-1.4862722,6.3660073
13.257742,-1.1648225
-1.0400631,7.484914
-0.76746255,7.907462
-1.5530114,4.100293
-1.3824049,5.4490542
-1.3918514,6.629783
-1.2484262,7.2306294
-1.4209241,4.08899
-1.368324,5.9598
13.512288,-0.9143695
0.29743567,2.030137
-1.1320493,6.374513
-1.2310774,7.304288
0.48802492,1.7666559
-1.5323523,4.326481
-1.0571373,6.003509
-0.9104101,6.770723
-1.5741965,7.127392
-1.1482553,6.1599994
-1.3718094,4.327772
14.323229,-1.2082287
-1.3091667,4.390637
-0.9993147,6.5485563
14.161414,-1.1664749
14.695439,-1.2410543
-1.3552105,6.6269565
-1.0644654,8.12181
-0.82288426,6.2611957
-0.96408087,7.5764623
-1.516107,6.3344297
14.027363,-0.8114411
-0.019597476,2.1139314
-1.474063,4.4719443
-0.8002459,6.237959
-0.9444115,7.7908325
12.277012,-1.3175838
14.201384,-0.64761376
14.133257,-0.726845
-1.2096816,6.033239
-1.4378965,6.0806184
-1.0976541,5.9518027
-1.3197817,5.4749403
13.462322,-1.4435753
13.599242,-0.9467828
-0.8669362,7.1161876
14.017172,-0.8499828
-0.99920017,7.6337905
-0.9613771,5.6339765
-1.7155956,4.693134
-1.5426115,5.2313547
13.622893,-0.7461523
-1.0214763,6.5446224
-1.3762965,6.6831355
-0.34431684,2.4710033
13.033869,-0.37108627
12.577788,-1.0692161
0.12931544,1.8704418
-1.4431942,7.068225
0.027504118,2.146238
-0.98996013,6.5500507
14.118641,-1.1524723
14.245164,-1.2211714
-1.1647966,7.509027
-1.2994553,5.107289
-1.0959415,6.3685145
-0.98647845,7.082153
13.540117,-0.8375719
0.22694704,1.8086582
13.332895,-0.6512388
-0.84776914,6.087963
-0.9126257,5.414945
-1.1662847,6.886742
-0.2357472,2.3468149
-0.30229497,2.4099493
12.543271,-1.4108503
-1.2652609,7.1492443
-0.6696853,7.8574123
-0.57492715,7.662267
-1.012025,8.360703
-1.2115072,7.1747403
-1.4430737,6.818844
-0.8575566,8.552584
0.032327317,2.251042
-1.0222415,7.680809
-0.10759964,1.9123676
-0.9568839,5.913387
-1.3292494,6.4114757
-0.6502597,6.8913536
-1.4340386,4.3777623
-1.1187115,6.255239
12.045713,-1.4210712
-1.5693644,4.708644
0.1569273,1.7681441
12.093078,-1.4744014
-0.18416388,2.0339267
-0.7796023,7.0809608
-1.3228726,4.612344
-1.2470413,6.523833
-1.5977852,4.0825906
-1.4459872,6.792816
-0.9953301,6.4694614
-0.1292531,2.274047
-1.1066242,5.4587073
-0.5914914,7.743168
-0.7317511,7.3182054
0.037372958,1.9268193
-1.3524619,6.6196704
-1.5208365,4.600566
14.182129,-0.7574656
14.504287,-0.85221714
14.16063,-0.7122956
0.15986261,1.818517
0.15007284,2.0298243
-1.1913992,6.9472523
14.251017,-0.9285462
-0.96122015,7.2391715
-0.8931705,8.517293
13.91163,-0.83307415
-1.2271084,6.5572186
-0.24349791,2.712347
-1.1958687,5.3717856
14.386767,-0.8143595
-1.3647792,6.6373057
13.057002,-0.710828
14.767422,-0.9220968
0.12170124,2.0099828
-0.9047497,6.3576617
-0.9673586,7.101448
-1.1961218,7.519885
-0.6562788,5.545264
-0.15283991,2.4176507
-1.4201027,4.844776
-1.5701774,5.289751
0.298201,2.05376
-0.8095416,5.79825
14.031293,-1.0110701
0.2501063,2.163643
0.28053686,1.9537216
13.060802,-1.3522905
-0.8011915,6.97386
12.038428,-1.4978949
12.987284,-0.632575
-1.3116074,4.439635
-1.3852355,5.5852704
13.014919,-0.45178255
13.346723,-0.866537
12.7272625,-0.9993852
-1.0512308,6.7326326
13.299177,-0.98813516
12.813476,-0.6446425
-0.9960444,6.4743323
-1.5580968,6.1180797
14.112518,-0.87492126
0.065538354,2.330229
-1.1086813,8.214126
12.322974,-1.4803814
-1.0167979,6.6282635
-0.8548027,6.2431245
14.286755,-0.8139251
-0.916441,6.893763
-0.5390404,7.542446
13.457773,-0.7761204
0.21364658,2.1144736
0.04999561,1.677433
13.481844,-1.2641816
-1.6257834,4.349012
-1.1022614,7.6446033
-1.4143616,6.111783
-1.3635738,5.6907096
-0.69199324,6.5575013
12.744696,-1.2484761
14.213911,-1.3910714
13.555313,-0.7607345
-0.17439267,1.9867986
14.226083,-0.7195944
-1.5473778,5.906027
12.96678,-0.9399461
-1.4428675,6.9296074
-1.0959457,6.9371095
-0.833696,7.0935936
-0.11577284,2.3279665
-1.0881357,7.155681
-0.9549445,6.8989277
-0.49095178,6.5996523
-1.4979391,4.838819
8.359772,10.746834
0.32604375,1.8175404
-0.62659746,6.180447
14.186706,-1.3621626
12.275384,-1.315092
13.614531,-0.48775545
-0.8264301,6.866911
-1.0905727,6.8787622
13.693778,-0.7469002
12.239667,-1.2031143
-1.1436518,5.9250846
-1.5168715,5.1871595
-1.1682296,5.4494557
-0.60478157,6.6117616
-1.1089209,6.6435423
14.035202,-0.55992454
-1.336797,6.6335473
-1.7010584,4.753951
-0.56102556,6.5261493
-0.8246483,7.856695
13.192333,-0.19529393
-0.9509885,7.6746492
-1.5066425,6.303064
-0.75052774,6.225253
-0.7841751,7.8091516
13.034498,-0.8430802
-1.1292655,8.563161
13.473023,-0.53784823
13.677042,-0.7749454
-1.0811821,5.5594773
13.997345,-0.7470449
-0.21374787,1.9809006
0.08666334,2.2695127
-1.2414118,6.114197
14.37831,-0.69161445
0.14918241,1.9144047
14.292674,-1.0430399
12.352161,-1.5249076
14.652478,-0.9428757
-0.056268986,2.2619777
0.02933119,1.9924214
14.133523,-1.1374792
14.133444,-0.69673884
-1.4209089,4.789573
-0.6175381,6.747469
8.369709,10.756972
-1.4567437,5.201859
13.637219,-0.6633744
-0.5887852,7.710656
14.653309,-1.1233668
13.254697,-0.84028596
-1.1993442,6.7038894
-0.6906437,7.830143
-1.2929254,5.441872
13.832792,-0.8848068
-1.1722847,5.3373704
-1.3287468,6.45736
-1.3609662,4.8121996
-1.6843401,6.588835
0.42977464,1.8767645
12.199599,-1.4584886
0.0051905075,1.9401853
-1.1994395,6.4845686
12.289823,-1.1659636
-1.062801,6.2230215
-1.3616456,4.9996133
11.939314,-1.5888951
0.08912816,2.112341
-1.0183018,6.602324
0.20961165,2.2370467
-1.1099781,6.569664
13.165716,-0.0382409
0.04213021,2.4522202
0.021918999,1.8718503
-0.9125352,7.7335577
-1.3551816,5.955839
13.141284,-0.22798689
-1.2327987,7.5315323
-1.3607523,4.8253765
-0.7794303,5.7172556
12.175627,-1.4346535
-1.6990085,6.307986
-1.1676975,6.8953934
-1.0029358,7.2341213
-0.70589066,6.3614845
-1.4750124,4.356056
-0.887128,8.591278
-1.581904,4.744723
14.582045,-0.9486114
-1.11435,6.3149166
13.800654,-1.2607812
-1.474291,5.2192993
-1.0192353,5.49274
13.705034,-0.43886888
-0.9414757,6.8076415
-1.4142983,4.4636054
-0.45684192,6.674659
-1.2318901,8.107054
-0.9634344,5.925739
-1.1850402,6.0641775
-1.4456899,5.2838416
-0.87092125,6.9599824
-1.0492926,6.4837456
-0.7061753,6.41542
-0.5882679,4.963206
13.1259165,-1.0504348
-1.2291812,8.078441
-1.0060575,7.1863756
-1.4439049,4.2887077
-0.98253417,7.488166
-0.6870089,7.277863
13.322994,-1.0571402
-0.8549195,6.017123
13.825042,-0.86071366
-1.2050765,5.7238355
-1.2914376,5.67925
-1.7503595,5.9308805
12.7499075,-1.2109634
12.04643,-1.3835071
-0.8623527,8.150265
0.32413992,2.0066845
-0.14573613,2.012276
12.178872,-1.3764446
-1.306719,7.5154057
-0.5471671,7.3284807
-0.38429952,2.6134992
-1.4945759,5.9430056
-0.24206296,2.27813
-0.59280217,6.978784
13.053078,-0.80986583
-1.184047,7.286253
13.871866,-0.9144015
-1.4125861,7.398459
-0.9812983,5.2161446
-1.235466,7.445043
14.545116,-0.78729504
-1.1452583,7.5989738
0.1943793,1.8921791
0.051339906,1.8647118
14.209544,-0.7550502
-1.7033968,5.114302
-1.2773261,7.849971
-1.2024531,6.4914603
-0.6283333,5.8635435
13.769013,-0.6523333
13.06009,-0.838633
-1.1569862,5.3114514
-1.3781687,6.5031047
-1.5730113,4.182386
-1.2992276,7.108259
0.24258491,2.0676692
-1.0658327,7.070967
12.03831,-1.4298699
-1.1464639,6.719393
-0.65084225,6.424873
-1.1907586,4.409641
-0.898526,5.577572
-0.36706135,7.260678
-1.3763032,6.6010256
0.14398387,2.2729735
-0.93677515,6.23218
14.257359,-1.0639285
-1.5259554,5.4602065
13.827269,-1.0009017
13.148903,-0.03135727
-1.5381954,6.098034
-1.229409,7.075768
-0.62008214,7.109186
14.2764225,-0.5914159
-1.2715012,7.015925
-0.9190783,6.8764067
14.177762,-0.81601477
13.803014,-0.51479864
12.466154,-1.1816026
-0.55795425,6.458261
-0.5602628,7.703905
-1.2615676,3.4759648
14.071385,-0.87762606
-1.262501,6.730571
14.42627,-0.5741478
-1.2409458,3.5062952
-0.13567592,1.9052106
0.14993441,2.332172
-1.714748,4.1121025
-1.0551765,7.6660366
-1.1397815,7.5657773
12.648665,-1.0560743
-1.097446,6.9119477
-1.0016868,8.203257
-0.9687567,7.143118
-1.5421236,5.999027
12.660433,-1.4884921
-1.319203,6.1493335
-0.9978784,7.0118427
-1.6709322,6.7032256
14.631476,-1.0431713
0.015070098,2.2293239
-1.4255508,5.9860187
-1.2540096,6.209533
-1.1074454,8.151686
-0.86725354,6.64322
-1.3006375,4.995717
-0.58044124,6.770194
-1.0803976,6.7488666
-1.165972,6.1640267
-1.1321743,6.1098647
13.1331215,-1.1220156
-0.5293157,6.847843
-1.8748568,5.7700777
-1.0564772,7.398408
-1.234331,6.108943
-1.4927268,6.210944
12.867055,-0.68440884
-0.04906695,2.5927386
-0.71821713,6.735481
-0.15625308,2.3993337
-1.2694569,6.12401
-0.87241644,3.9713047
-2.2124097,6.7597938
0.53761595,1.9717314
-0.79682875,6.3256173
-0.42725772,6.9353848
-0.9489922,7.102651
13.331132,-0.70703286
-1.1364735,6.026222
0.25668192,2.0380354
-0.4217398,6.783398
-1.4946979,4.33663
13.395499,-0.55426824
0.14098863,2.125027
-0.59541607,5.744373
-1.4972023,6.5885077
-0.8770544,7.5878444
-1.1895924,6.549351
-0.83442426,7.291148
-1.1407545,5.929267
-1.7299151,7.4881377
-0.95351386,5.7684045
13.537374,-0.43159124
-0.9957909,7.0745163
12.179586,-1.4971942
12.710637,-0.74905175
-0.18077807,2.2026796
14.319418,-1.1821985
-1.0848825,7.1621304
14.469834,-0.7964974
-1.5394955,5.339261
-1.0421745,7.0876317
-1.4078516,5.6148586
-0.6162301,6.7650485
